hit_id,x,y,z,volume_id,layer_id,module_id
1,-64.4099,-7.1637,-1502.5,7,2,1
2,-55.3361,0.635342,-1502.5,7,2,1
3,-83.8305,-1.14301,-1502.5,7,2,1
4,-96.1091,-8.24103,-1502.5,7,2,1
5,-62.6736,-9.3712,-1502.5,7,2,1
6,-57.0687,-8.17777,-1502.5,7,2,1
7,-73.8723,-2.5789,-1502.5,7,2,1
8,-63.8535,-10.8684,-1502.5,7,2,1
9,-97.2548,-10.8891,-1502.5,7,2,1
10,-90.2929,-3.26937,-1502.5,7,2,1
11,-59.183,-0.670508,-1502.5,7,2,1
12,-42.6239,-10.6612,-1502.5,7,2,1
13,-72.534,2.64219,-1502.5,7,2,1
14,-63.5012,-1.86299,-1502.5,7,2,1
15,-63.4365,-3.26222,-1502.5,7,2,1
16,-57.3119,-5.08732,-1502.5,7,2,1
17,-97.2557,-6.57587,-1502.5,7,2,1
18,-79.9994,-7.17379,-1502.5,7,2,1
19,-100.922,0.407992,-1502.5,7,2,1
20,-57.1388,2.75042,-1502.5,7,2,1
21,-68.1471,-9.30043,-1502.5,7,2,1
22,-136.308,0.330197,-1502,7,2,2
23,-110.555,2.52188,-1502,7,2,2
24,-129.148,-3.79354,-1502,7,2,2
25,-153.202,-12.6639,-1502,7,2,2
26,-136.492,-9.08835,-1502,7,2,2
27,-150.699,-10.1456,-1502,7,2,2
28,-174.038,-2.01485,-1502,7,2,2
29,-103.95,-15.9393,-1498,7,2,3
30,-143.559,-16.1636,-1498,7,2,3
31,-152.17,-23.8135,-1498,7,2,3
32,-104.363,-13.7755,-1498,7,2,3
33,-115.442,-14.9676,-1498,7,2,3
34,-109.871,-21.1573,-1498,7,2,3
35,-79.3203,-17.989,-1498,7,2,4
36,-87.6197,-17.1534,-1498,7,2,4
37,-96.7733,-23.3618,-1498,7,2,4
38,-62.4736,-9.36801,-1498,7,2,4
39,-85.6386,-16.1345,-1498,7,2,4
40,-77.2376,-25.4592,-1498,7,2,4
41,-83.1324,-28.417,-1498,7,2,4
42,-77.468,-17.2358,-1498,7,2,4
43,-56.9143,-8.18761,-1498,7,2,4
44,-62.8231,-15.211,-1498,7,2,4
45,-67.9302,-9.28966,-1498,7,2,4
46,-68.68,-17.4913,-1498,7,2,4
47,-86.0223,-25.0119,-1498,7,2,4
48,-63.679,-10.8401,-1498,7,2,4
49,-108.177,-20.438,-1502,7,2,5
50,-110.18,-21.2656,-1502,7,2,5
51,-151.273,-30.1087,-1502,7,2,5
52,-116.417,-30.6427,-1502,7,2,5
53,-153.128,-32.9079,-1502,7,2,5
54,-104.255,-16.0197,-1502,7,2,5
55,-137.648,-29.0615,-1502,7,2,5
56,-143.974,-29.933,-1502,7,2,5
57,-108.58,-29.0562,-1502,7,2,5
58,-112.28,-30.5429,-1502,7,2,5
59,-103.805,-24.5946,-1502,7,2,5
60,-65.4095,-26.0923,-1502,7,2,6
61,-70.2361,-36.0471,-1502,7,2,6
62,-77.8816,-32.3408,-1502,7,2,6
63,-72.8297,-27.434,-1502,7,2,6
64,-80.2594,-37.7635,-1502,7,2,6
65,-83.3511,-28.4908,-1502,7,2,6
66,-70.8806,-31.5515,-1502,7,2,6
67,-50.9999,-28.8369,-1502,7,2,6
68,-75.3879,-32.282,-1502,7,2,6
69,-77.4622,-25.5104,-1502,7,2,6
70,-66.8445,-34.534,-1502,7,2,6
71,-62.6033,-24.9299,-1502,7,2,6
72,-57.7177,-32.756,-1502,7,2,6
73,-59.7462,-24.9912,-1502,7,2,6
74,-90.9964,-33.5518,-1502,7,2,6
75,-67.7941,-37.0921,-1502,7,2,6
76,-85.7707,-42.4276,-1502,7,2,6
77,-101.029,-33.9935,-1498,7,2,7
78,-134.448,-53.4735,-1498,7,2,7
79,-108.27,-28.932,-1498,7,2,7
80,-155.642,-47.2353,-1498,7,2,7
81,-122.233,-39.9073,-1498,7,2,7
82,-116.115,-30.5594,-1498,7,2,7
83,-127.51,-43.7126,-1498,7,2,7
84,-119.423,-37.9437,-1498,7,2,7
85,-141.865,-51.6879,-1498,7,2,7
86,-149.351,-54.1444,-1498,7,2,7
87,-111.987,-30.4416,-1498,7,2,7
88,-99.6592,-40.706,-1498,7,2,7
89,-94.0503,-48.4414,-1502,7,2,8
90,-157.843,-67.3169,-1502,7,2,8
91,-131.734,-63.878,-1502,7,2,8
92,-109.616,-48.7006,-1502,7,2,8
93,-133.848,-54.536,-1502,7,2,8
94,-135.804,-68.6812,-1502,7,2,8
95,-102.275,-47.9188,-1502,7,2,8
96,-120.16,-46.1954,-1502,7,2,8
97,-134.837,-53.5512,-1502,7,2,8
98,-135.116,-59.7416,-1502,7,2,8
99,-135.067,-66.2789,-1502,7,2,8
100,-115.053,-48.6418,-1502,7,2,8
101,-99.9165,-40.8654,-1502,7,2,8
102,-99.5651,-52.5161,-1502,7,2,8
103,-148.006,-69.4775,-1502,7,2,8
104,-70.0195,-35.9004,-1497.5,7,2,9
105,-50.1809,-37.6999,-1497.5,7,2,9
106,-62.4462,-42.9877,-1497.5,7,2,9
107,-85.8023,-45.6716,-1497.5,7,2,9
108,-79.6475,-57.4577,-1497.5,7,2,9
109,-62.1656,-36.0134,-1497.5,7,2,9
110,-66.6408,-34.4163,-1497.5,7,2,9
111,-51.4567,-35.7256,-1497.5,7,2,9
112,-60.0904,-45.6578,-1497.5,7,2,9
113,-60.4187,-38.2268,-1497.5,7,2,9
114,-74.8133,-42.1806,-1497.5,7,2,9
115,-50.8336,-28.7759,-1497.5,7,2,9
116,-47.8912,-35.2999,-1497.5,7,2,9
117,-71.2588,-45.3973,-1497.5,7,2,9
118,-67.5782,-36.9846,-1497.5,7,2,9
119,-57.5454,-32.5957,-1497.5,7,2,9
120,-36.349,-13.1163,-1497.5,7,2,9
121,-75.4575,-47.9117,-1497.5,7,2,9
122,-84.4901,-51.0426,-1497.5,7,2,9
123,-63.1787,-46.31,-1497.5,7,2,9
124,-93.7765,-48.3127,-1498,7,2,10
125,-120.101,-70.9878,-1498,7,2,10
126,-101.986,-47.7918,-1498,7,2,10
127,-135.509,-68.4096,-1498,7,2,10
128,-134.715,-66.1359,-1498,7,2,10
129,-96.5132,-52.0691,-1498,7,2,10
130,-131.395,-63.6573,-1498,7,2,10
131,-99.3333,-52.3235,-1498,7,2,10
132,-107.138,-62.0084,-1498,7,2,10
