hit_id,particle_id,tx,ty,tz,tpx,tpy,tpz,weight
1,0,-64.4116,-7.16412,-1502.5,250710,-149908,-956385,     0
2,22525763437723648,-55.3385,0.630805,-1502.5,-0.570605,0.0283904,-15.4922,9.86408e-06
3,0,-83.828,-1.14558,-1502.5,626295,-169767,-760877,     0
4,297237712845406208,-96.1229,-8.23036,-1502.5,-0.225235,-0.0509684,-3.70232,8.13311e-06
5,418835796137607168,-62.6594,-9.37504,-1502.5,-0.281806,-0.023487,-6.57318,8.87338e-06
6,108087696726949888,-57.0856,-8.18971,-1502.5,-0.401129,-0.035276,-10.4669,8.13311e-06
7,968286151951515648,-73.8608,-2.57586,-1502.5,-0.442662,-0.0369686,-9.1301,6.96788e-06
8,954766419537428480,-63.8512,-10.8754,-1502.5,-0.670459,-0.0926088,-15.5407,1.13644e-05
9,707072769359085568,-97.2489,-10.9067,-1502.5,-0.279789,-0.0621434,-4.41292,8.13311e-06
10,67554956483231744,-90.2763,-3.24397,-1502.5,-0.251752,-0.0371381,-4.24922,6.45466e-06
11,274720539342274560,-59.1974,-0.647788,-1502.5,-0.208248,-0.018635,-5.283,8.13311e-06
12,0,-42.6177,-10.6661,-1502.5,-270443,83056.7,-959147,     0
13,63061596057894912,-72.5146,2.62395,-1502.5,-0.264801,0.0295635,-5.52233,6.96788e-06
14,707068508751527936,-63.5152,-1.85185,-1502.5,-0.218837,-0.0294531,-5.28927,8.13311e-06
15,63064276117487616,-63.4467,-3.24381,-1502.5,-0.203056,0.0117957,-4.807,6.96788e-06
16,67554612885848064,-57.3076,-5.08441,-1502.5,-0.205477,-0.038563,-5.5643,6.96788e-06
17,824159968759382016,-97.2745,-6.5533,-1502.5,-0.452092,-0.0030149,-6.98815,8.13311e-06
18,103584646855393280,-79.9894,-7.17084,-1502.5,-0.854836,-0.100101,-16.1965,9.62518e-06
19,878204126360502272,-100.931,0.397845,-1502.5,-0.642083,-0.0345362,-9.62226,7.96041e-06
20,211686362355597312,-57.1352,2.7655,-1502.5,-0.226328,0.0289454,-5.8074,7.47422e-06
21,616995416692490240,-68.1281,-9.31646,-1502.5,-0.426204,-0.0793354,-9.49294,6.96788e-06
22,4513426512543744,-136.296,0.31258, -1502,-0.608866,-0.037642,-6.74693,7.83999e-06
23,535931585472495616,-110.543,2.52592, -1502,-0.321227,-0.0293715,-4.47207,7.47422e-06
24,819655956815151104,-129.155,-3.81334, -1502,-0.41233,-0.048644,-4.90468,5.79264e-06
25,418837307966095360,-153.197,-12.6789, -1502,-0.30882,-0.0699229,-3.11756,6.56826e-06
26,761110055012532224,-136.487,-9.10188, -1502,-0.19618,0.0235197,-2.07384,6.56826e-06
27,801644925560029184,-150.709,-10.1504, -1502,-2.58594,-0.221107,-25.8104,2.24259e-05
28,211690073207341056,-174.027,-2.03418, -1502,-0.660633,-0.0550801,-5.77455,4.5932e-06
29,139619285029879808,-103.964,-15.9591, -1498,-0.191132,-0.0563997,-2.81657,6.56826e-06
30,225187609230442496,-143.563,-16.1496, -1498,-0.570538,-0.0187072,-5.81414,7.68332e-06
31,0,-152.171,-23.8064, -1498,339705,-13076.4,-940441,     0
32,873702863195340800,-104.364,-13.7625, -1498,-0.595077,-0.0483707,-8.49255,8.61307e-06
33,873724303672082432,-115.451,-14.9921, -1498,-0.353916,-0.0849795,-4.73063,8.87338e-06
34,445865090483224576,-109.883,-21.175, -1498,-0.317358,-0.0942679,-4.44283,6.56826e-06
35,657538052540858368,-79.3386,-17.9746, -1498,-0.212151,-0.0245096,-3.87838,8.13311e-06
36,801651522629795840,-87.6299,-17.1524, -1498,-0.908909,-0.207412,-15.7444,1.27458e-05
37,216185151619596288,-96.7747,-23.3499, -1498,-0.150624,-0.0533888,-2.81868,8.87338e-06
38,418835796137607168,-62.467,-9.35879, -1498,-0.279476,-0.0237028,-6.57378,7.55881e-06
39,139619216310403072,-85.6362,-16.1372, -1498,-0.643107,-0.0889951,-11.2041,8.00706e-06
40,810658172128722944,-77.2327,-25.4656, -1498,-0.229296,-0.050519,-4.24259,4.92053e-06
41,27031974405210112,-83.1449,-28.4195, -1498,-0.484582,-0.193459,-8.87085,5.98e-06
42,873704581182259200,-77.4591,-17.2103, -1498,-0.203954,-0.0756689,-4.16814,6.45466e-06
43,108087696726949888,-56.9131,-8.17429, -1498,-0.40162,-0.0365732,-10.4675,7.04869e-06
44,238694559821856768,-62.8281,-15.2251, -1498,-0.428516,-0.0839786,-10.125,6.45466e-06
45,616995416692490240,-67.9262,-9.27885, -1498,-0.425687,-0.0788398,-9.49366,6.19367e-06
46,860196324920786944,-68.6967,-17.5014, -1498,-0.841248,-0.237015,-18.624,1.12623e-05
47,157629835248664576,-86.0038,-25.0178, -1498,-0.267794,-0.105245,-4.89338,6.96788e-06
48,954766419537428480,-63.6572,-10.8484, -1498,-0.669784,-0.0938634,-15.5412,9.6808e-06
49,0,-108.177,-20.438, -1502,-484376,-559731,-672370,     0
50,445865090483224576,-110.168,-21.2593, -1502,-0.315759,-0.093085,-4.44206,7.47422e-06
51,103589732096671744,-151.286,-30.1044, -1502,-0.603475,-0.0751224,-5.91158,5.9822e-06
52,671041292280528896,-116.431,-30.6238, -1502,-0.89222,-0.200463,-11.3282,1.34723e-05
53,927744615614775296,-153.124,-32.9161, -1502,-0.273071,-0.00939891,-2.53417,5.03236e-06
54,139619285029879808,-104.234,-16.0387, -1502,-0.189538,-0.055572,-2.81615,7.47422e-06
55,171140359252869120,-137.637,-29.0575, -1502,-0.223771,-0.112947,-2.2608,4.88237e-06
56,616995347973013504,-143.973,-29.9322, -1502,-0.308785,-0.0184546,-3.14067,3.48394e-06
57,495403861750579200,-108.57,-29.037, -1502,-0.870665,-0.286863,-12.0564,1.35871e-05
58,549440803806642176,-112.283,-30.5447, -1502,-0.321427,-0.123352,-4.49766,8.87338e-06
59,63068055688708096,-103.821,-24.5857, -1502,-0.587912,-0.172714,-8.65658,9.64892e-06
60,932245878779936768,-65.3996,-26.0933, -1502,-0.464568,-0.20981,-10.9736,6.60728e-06
61,558454600131149824,-70.2243,-36.0388, -1502,-0.422291,-0.244502,-9.30342,5.67915e-06
62,396317454403371008,-77.8808,-32.3577, -1502,-1.72225,-0.741116,-33.5642,2.07145e-05
63,67555162641661952,-72.83,-27.4158, -1502,-1.91583,-0.697352,-39.3421,2.08861e-05
64,63068124408184832,-80.2736,-37.7481, -1502,-0.714417,-0.304471,-13.093,9.29664e-06
65,27031974405210112,-83.364,-28.5073, -1502,-0.487237,-0.195468,-8.87016,6.66342e-06
66,184651982768701440,-70.8636,-31.5593, -1502,-0.555199,-0.262449,-11.7816,7.12439e-06
67,707069195946295296,-50.9783,-28.8537, -1502,-0.415409,-0.211134,-11.9064,6.96788e-06
68,18017078569074688,-75.3823,-32.2837, -1502,-0.376806,-0.188799,-7.75655,6.96788e-06
